class,order,family,Genus,species,haploid
Actinopteri,Anabantiformes,Anabantidae,Anabas,Anabas_cobojius,23
Actinopteri,Anabantiformes,Anabantidae,Anabas,Anabas_testudineus,23
Actinopteri,Anabantiformes,Anabantidae,Anabas,Anabas_testudineus,24
Actinopteri,Anabantiformes,Badidae,Badis,Badis_badis,24
Actinopteri,Anabantiformes,Osphronemidae,Betta,Betta_pi,17
Actinopteri,Anabantiformes,Osphronemidae,Betta,Betta_prima,19
Actinopteri,Anabantiformes,Osphronemidae,Betta,Betta_pugnax,20
Actinopteri,Anabantiformes,Osphronemidae,Betta,Betta_simplex,23
Actinopteri,Anabantiformes,Osphronemidae,Betta,Betta_splendens,21
Actinopteri,Anabantiformes,Channidae,Channa,Channa_argus,24
Actinopteri,Anabantiformes,Channidae,Channa,Channa_asiatica,22
Actinopteri,Anabantiformes,Channidae,Channa,Channa_barca,19
Actinopteri,Anabantiformes,Channidae,Channa,Channa_gachua,39
Actinopteri,Anabantiformes,Channidae,Channa,Channa_lucius,24
Actinopteri,Anabantiformes,Channidae,Channa,Channa_maculata,21
Actinopteri,Anabantiformes,Channidae,Channa,Channa_marulius,22
Actinopteri,Anabantiformes,Channidae,Channa,Channa_marulius,20
Actinopteri,Anabantiformes,Channidae,Channa,Channa_micropeltes,22
Actinopteri,Anabantiformes,Channidae,Channa,Channa_orientalis,38
Actinopteri,Anabantiformes,Channidae,Channa,Channa_orientalis,39
Actinopteri,Anabantiformes,Channidae,Channa,Channa_punctata,16
Actinopteri,Anabantiformes,Channidae,Channa,Channa_punctata,17
Actinopteri,Anabantiformes,Channidae,Channa,Channa_stewartii,33
Actinopteri,Anabantiformes,Channidae,Channa,Channa_striata,20
Actinopteri,Anabantiformes,Channidae,Channa,Channa_striatus,20
Actinopteri,Anabantiformes,Osphronemidae,Colisa,Colisa_chuna,23
Actinopteri,Anabantiformes,Osphronemidae,Colisa,Colisa_fasciatus,24
Actinopteri,Anabantiformes,Osphronemidae,Colisa,Colisa_labiosus,24
Actinopteri,Anabantiformes,Osphronemidae,Colisa,Colisa_lalius,23
Actinopteri,Anabantiformes,Osphronemidae,Colisa,Colisa_sota,23
Actinopteri,Anabantiformes,Anabantidae,Ctenopoma,Ctenopoma_acutirostre,24
Actinopteri,Anabantiformes,Anabantidae,Ctenopoma,Ctenopoma_muriei,24
Actinopteri,Anabantiformes,Anabantidae,Ctenopoma,Ctenopoma_ocellatum,24
Actinopteri,Anabantiformes,Anabantidae,Ctenopoma,Ctenopoma_petherici,24
Actinopteri,Anabantiformes,Osphronemidae,Ctenops,Ctenops_nobilis,22
Actinopteri,Anabantiformes,Helostomatidae,Helostoma,Helostoma_temminkii,24
Actinopteri,Anabantiformes,Osphronemidae,Macropodus,Macropodus_chinensis,23
Actinopteri,Anabantiformes,Osphronemidae,Macropodus,Macropodus_chinensis,24
Actinopteri,Anabantiformes,Osphronemidae,Macropodus,Macropodus_ocellatus,23
Actinopteri,Anabantiformes,Osphronemidae,Macropodus,Macropodus_opercularis,23
Actinopteri,Anabantiformes,Osphronemidae,Macropodus,Macropodus_spechti,23
Actinopteri,Anabantiformes,Anabantidae,Microctenopoma,Microctenopoma_ansorgei,23
Actinopteri,Anabantiformes,Anabantidae,Microctenopoma,Microctenopoma_congicum,23
Actinopteri,Anabantiformes,Anabantidae,Microctenopoma,Microctenopoma_pekkolai,24
Actinopteri,Anabantiformes,Nandidae,Nandus,Nandus_nandus,24
Actinopteri,Anabantiformes,Nandidae,Nandus,Nandus_oxyrhynchus,24
Actinopteri,Anabantiformes,Osphronemidae,Osphronemus,Osphronemus_goramy,24
Actinopteri,Anabantiformes,Channidae,Parachanna,Parachanna_obscura,21
Actinopteri,Anabantiformes,Osphronemidae,Parosphromenus,Parosphromenus_sumatranus,23
Actinopteri,Anabantiformes,Pristolepididae,Pristolepis,Pristolepis_marginata,24
Actinopteri,Anabantiformes,Osphronemidae,Trichogaster,Trichogaster_fasciatus,24
Actinopteri,Anabantiformes,Osphronemidae,Trichogaster,Trichogaster_labiosus,24
Actinopteri,Anabantiformes,Osphronemidae,Trichogaster,Trichogaster_lalius,23
Actinopteri,Anabantiformes,Osphronemidae,Trichopodus,Trichopodus_cantoris,23
Actinopteri,Anabantiformes,Osphronemidae,Trichopodus,Trichopodus_leeri,23
Actinopteri,Anabantiformes,Osphronemidae,Trichopodus,Trichopodus_microlepis,23
Actinopteri,Anabantiformes,Osphronemidae,Trichopodus,Trichopodus_pectoralis,23
Actinopteri,Anabantiformes,Osphronemidae,Trichopodus,Trichopodus_trichopterus,23
Actinopteri,Anabantiformes,Osphronemidae,Trichopsis,Trichopsis_pumila,23
Actinopteri,Anabantiformes,Osphronemidae,Trichopsis,Trichopsis_schalleri,23
Actinopteri,Anabantiformes,Osphronemidae,Trichopsis,Trichopsis_vittata,23