Order,Family,species,haploid,Diploid.number,Fundamental.number,Sex.chromosome
Caudata,Ambystomatidae,Ambystoma_annulatum,14,28,56,
Caudata,Ambystomatidae,Ambystoma_gracile,14,28,56,
Caudata,Ambystomatidae,Ambystoma_jeffersonianum,14,28,56,ZW
Caudata,Ambystomatidae,Ambystoma_laterale,21,42,84,
Caudata,Ambystomatidae,Ambystoma_laterale,21,42,84,
Caudata,Ambystomatidae,Ambystoma_laterale,14,28,56,ZW
Caudata,Ambystomatidae,Ambystoma_macrodactylum,14,28,56,
Caudata,Ambystomatidae,Ambystoma_maculatum,14,28,56,
Caudata,Ambystomatidae,Ambystoma_mavortium,14,28,NA,
Caudata,Ambystomatidae,Ambystoma_mavortium,14,28,NA,
Caudata,Ambystomatidae,Ambystoma_mexicanum,14,28,56,ZW
Caudata,Ambystomatidae,Ambystoma_opacum,14,28,56,
Caudata,Ambystomatidae,Ambystoma_sp.,14,28,NA,
Caudata,Ambystomatidae,Ambystoma_sp.,21,42,NA,
Caudata,Ambystomatidae,Ambystoma_sp.,28,56,NA,
Caudata,Ambystomatidae,Ambystoma_talpoideum,14,28,56,
Caudata,Ambystomatidae,Ambystoma_texanum,21,42,84,
Caudata,Ambystomatidae,Ambystoma_texanum,14,28,56,
Caudata,Ambystomatidae,Ambystoma_tigrinum,14,28,56,ZW
Caudata,Ambystomatidae,Ambystoma_tigrinum_tigrinum,14,28,NA,
Caudata,Ambystomatidae,Dicamptodon_ensatus,14,28,NA,
Caudata,Ambystomatidae,Dicamptodon_tenebrosus,14,28,NA,
Caudata,Amphiumidae,Amphiuma_means,14,28,56,
Caudata,Amphiumidae,Amphiuma_tridactylum,14,28,56,
Caudata,Cryptobranchidae,Andrias_davidianus,30,60,74,
Caudata,Cryptobranchidae,Andrias_japonicus,30,60,74,
Caudata,Cryptobranchidae,Cryptobranchus_alleganiensis,30,60,74,
Caudata,Hynobiidae,Afghanodon_mustersi,31,62,76,
Caudata,Hynobiidae,Batrachuperus_karlschmidti,34,68,92,
Caudata,Hynobiidae,Batrachuperus_londongensis,34,68,92,
Caudata,Hynobiidae,Batrachuperus_pinchonii,33,66,132,
Caudata,Hynobiidae,Batrachuperus_pinchonii,33,66,82,
Caudata,Hynobiidae,Batrachuperus_tibetanus,31,62,100,
Caudata,Hynobiidae,Batrachuperus_yenyuanensis,34,68,90,
Caudata,Hynobiidae,Hynobius_abei,28,56,92,
Caudata,Hynobiidae,Hynobius_aff_kimurae,29,58,114,
Caudata,Hynobiidae,Hynobius_amjiensis,28,56,92,
Caudata,Hynobiidae,Hynobius_arisanensis,29,58,96,
Caudata,Hynobiidae,Hynobius_boulengeri,28,56,NA,
Caudata,Hynobiidae,Hynobius_boulengeri,29,58,96,
Caudata,Hynobiidae,Hynobius_chinensis,28,56,94,
Caudata,Hynobiidae,Hynobius_dunni,28,56,86,
Caudata,Hynobiidae,Hynobius_formosanus,29,58,94,
Caudata,Hynobiidae,Hynobius_hidamontanus,28,56,NA,
Caudata,Hynobiidae,Hynobius_hidamontanus,28,56,NA,ZW
Caudata,Hynobiidae,Hynobius_katoi,29,58,96,
Caudata,Hynobiidae,Hynobius_kimurae,29,58,96,
Caudata,Hynobiidae,Hynobius_leechii,28,56,94,
Caudata,Hynobiidae,Hynobius_leechii_,27,54,94,
Caudata,Hynobiidae,Hynobius_lichenatus,28,56,96,
Caudata,Hynobiidae,Hynobius_maoershanensis,28,56,NA,
Caudata,Hynobiidae,Hynobius_naevius,28,56,NA,
Caudata,Hynobiidae,Hynobius_nebulosus_nebulosus,28,56,96,
Caudata,Hynobiidae,Hynobius_nigrescens,28,56,NA,
Caudata,Hynobiidae,Hynobius_nigrescens,28,56,96,
Caudata,Hynobiidae,Hynobius_okiensis,28,56,NA,
Caudata,Hynobiidae,Hynobius_quelpaertensis,28,56,NA,ZW
Caudata,Hynobiidae,Hynobius_retardatus,20,40,76,
Caudata,Hynobiidae,Hynobius_sonani,29,58,96,
Caudata,Hynobiidae,Hynobius_stejnegeri,28,56,NA,
Caudata,Hynobiidae,Hynobius_takedai,28,56,NA,
Caudata,Hynobiidae,Hynobius_tokyoensis,28,56,NA,ZW
Caudata,Hynobiidae,Hynobius_tsuensis,28,56,NA,
Caudata,Hynobiidae,Hynobius_yiwuensis,28,56,92,
Caudata,Hynobiidae,Liua_shihi,32,64,76,
Caudata,Hynobiidae,Liua_shihi,33,66,82,
Caudata,Hynobiidae,Liua_tsinpaensis,33,66,NA,
Caudata,Hynobiidae,Onychodactylus_aff_japonicus,39,78,104,
Caudata,Hynobiidae,Onychodactylus_fischeri,39,78,100,
Caudata,Hynobiidae,Onychodactylus_japonicus,29,58,98,
Caudata,Hynobiidae,Pachyhynobius_shangchengensis,32,64,70,
Caudata,Hynobiidae,Pseudohynobius_flavomaculatus,26,52,76,
Caudata,Hynobiidae,Pseudohynobius_puxiongensis,26,52,NA,
Caudata,Hynobiidae,Pseudohynobius_shuichengensis,25,50,74,
Caudata,Hynobiidae,Ranodon_sibiricus,33,66,90,
Caudata,Hynobiidae,Salamandrella_keyserlingii,31,62,76,
Caudata,Hynobiidae,Salamandrella_keyserlingii,31,62,78,
Caudata,Hynobiidae,Salamandrella_keyserlingii,31,62,104,
Caudata,Hynobiidae,Salamandrella_keyserlingii,31,62,94,
Caudata,Plethodontidae,Aneides_aeneus,14,28,50,
Caudata,Plethodontidae,Aneides_aeneus,14,28,56,
Caudata,Plethodontidae,Aneides_ferreus,14,28,56,ZW
Caudata,Plethodontidae,Aneides_flavipunctatus,14,28,56,
Caudata,Plethodontidae,Aneides_hardii,14,28,56,
Caudata,Plethodontidae,Aneides_lugubris,14,28,54,
Caudata,Plethodontidae,Aneides_lugubris,14,28,56,
Caudata,Plethodontidae,Aquiloeurycea_cephalica,13,26,NA,
Caudata,Plethodontidae,Batrachoseps_attenuatus,13,26,52,
Caudata,Plethodontidae,Batrachoseps_wrighti,13,26,NA,
Caudata,Plethodontidae,Bolitoglossa_cerroensis,13,26,NA,
Caudata,Plethodontidae,Bolitoglossa_colonnea,13,26,NA,
Caudata,Plethodontidae,Bolitoglossa_cuchumatana,13,26,NA,
Caudata,Plethodontidae,Bolitoglossa_dofleini,13,26,NA,
Caudata,Plethodontidae,Bolitoglossa_dunni,13,26,NA,
Caudata,Plethodontidae,Bolitoglossa_engelhardti,13,26,NA,
Caudata,Plethodontidae,Bolitoglossa_flavimembris,13,26,NA,
Caudata,Plethodontidae,Bolitoglossa_hartwegi,13,26,NA,
Caudata,Plethodontidae,Bolitoglossa_helmrichi,13,26,NA,
Caudata,Plethodontidae,Bolitoglossa_lincolni,13,26,NA,
Caudata,Plethodontidae,Bolitoglossa_minutula,13,26,NA,
Caudata,Plethodontidae,Bolitoglossa_morio,13,26,NA,
Caudata,Plethodontidae,Bolitoglossa_occidentalis,13,26,NA,
Caudata,Plethodontidae,Bolitoglossa_paraensis,13,26,52,
Caudata,Plethodontidae,Bolitoglossa_platydactyla,13,26,NA,
Caudata,Plethodontidae,Bolitoglossa_robusta,13,26,NA,
Caudata,Plethodontidae,Bolitoglossa_rostrata,13,26,NA,
Caudata,Plethodontidae,Bolitoglossa_rufescens,13,26,NA,
Caudata,Plethodontidae,Bolitoglossa_striatula,13,26,NA,
Caudata,Plethodontidae,Bolitoglossa_subpalmata,13,26,52,XY
Caudata,Plethodontidae,Chiropterotriton_arboreus,13,26,NA,
Caudata,Plethodontidae,Chiropterotriton_chiropterus,13,26,NA,
Caudata,Plethodontidae,Chiropterotriton_dimidiatus,13,26,52,ZW
Caudata,Plethodontidae,Chiropterotriton_dimidiatus,13,26,NA,
Caudata,Plethodontidae,Chiropterotriton_lavae,13,26,NA,
Caudata,Plethodontidae,Chiropterotriton_multidentatus,13,26,NA,
Caudata,Plethodontidae,Cryptotriton_veraepacis,13,26,NA,
Caudata,Plethodontidae,Cryptotriton_veraepacis,13,26,NA,XY
Caudata,Plethodontidae,Dendrotriton_bromeliacius,13,26,52,XY
Caudata,Plethodontidae,Dendrotriton_bromeliacius,13,26,NA,
Caudata,Plethodontidae,Dendrotriton_rabbi,13,26,NA,XY
Caudata,Plethodontidae,Desmognathus_fuscus,14,28,56,
Caudata,Plethodontidae,Desmognathus_marmoratus,14,28,56,
Caudata,Plethodontidae,Desmognathus_marmoratus,14,28,NA,
Caudata,Plethodontidae,Desmognathus_monticola,14,28,56,
Caudata,Plethodontidae,Desmognathus_ochrophaeus,14,28,56,
Caudata,Plethodontidae,Ensatina_eschscholtzii,14,28,56,
Caudata,Plethodontidae,Eurycea_bislineata,14,28,56,
Caudata,Plethodontidae,Eurycea_longicauda,14,28,56,
Caudata,Plethodontidae,Eurycea_longicauda_melanopleura,14,28,56,
Caudata,Plethodontidae,Eurycea_lucifuga,14,28,56,
Caudata,Plethodontidae,Gyrinophilus_porphyriticus,14,28,56,
Caudata,Plethodontidae,Hemidactylium_scutatum,14,28,56,
Caudata,Plethodontidae,Hydromantes_brunus,14,28,NA,
Caudata,Plethodontidae,Hydromantes_platycephalus,14,28,NA,
Caudata,Plethodontidae,Hydromantes_shastae,14,28,NA,
Caudata,Plethodontidae,Hydromantes_sp._nov.,14,28,54,XY
Caudata,Plethodontidae,Isthmura_bellii,13,26,NA,
Caudata,Plethodontidae,Karsenia_koreana,14,28,56,
Caudata,Plethodontidae,Nototriton_abscondens,13,26,NA,XY
Caudata,Plethodontidae,Nototriton_picadoi,13,26,NA,XY
Caudata,Plethodontidae,Nyctanolis_pernix,13,26,NA,
Caudata,Plethodontidae,Oedipina_poelzi,13,26,NA,XY
Caudata,Plethodontidae,Oedipina_pseudouniformis,13,26,NA,
Caudata,Plethodontidae,Oedipina_uniformis,13,26,NA,XY
Caudata,Plethodontidae,Oedipina_uniformis,13,26,52,XY
Caudata,Plethodontidae,Parvimolge_townsendi,13,26,52,
Caudata,Plethodontidae,Plethodon_cinereus,14,28,56,
Caudata,Plethodontidae,Plethodon_dunni,14,28,56,
Caudata,Plethodontidae,Plethodon_dunni,14,28,56,
Caudata,Plethodontidae,Plethodon_elongatus,14,28,56,
Caudata,Plethodontidae,Plethodon_glutinosus,14,28,56,
Caudata,Plethodontidae,Plethodon_hoffmani,14,28,56,
Caudata,Plethodontidae,Plethodon_jordani,14,28,56,
Caudata,Plethodontidae,Plethodon_larselli,14,28,56,
Caudata,Plethodontidae,Plethodon_neomexicanus,14,28,56,
Caudata,Plethodontidae,Plethodon_nettingi,14,28,56,
Caudata,Plethodontidae,Plethodon_ouachitae,14,28,56,
Caudata,Plethodontidae,Plethodon_punctatus,14,28,56,
Caudata,Plethodontidae,Plethodon_richmondi,14,28,56,
Caudata,Plethodontidae,Plethodon_shenandoah,14,28,NA,
Caudata,Plethodontidae,Plethodon_vandykei,14,28,56,
Caudata,Plethodontidae,Plethodon_vehiculum,14,28,56,
Caudata,Plethodontidae,Plethodon_wehrlei,14,28,56,
Caudata,Plethodontidae,Plethodon_yonahlossee,14,28,56,
Caudata,Plethodontidae,Pseudoeurycea_brunnata,13,26,NA,
Caudata,Plethodontidae,Pseudoeurycea_cochranae,13,26,52,
Caudata,Plethodontidae,Pseudoeurycea_juarezi,13,26,NA,
Caudata,Plethodontidae,Pseudoeurycea_leprosa,13,26,NA,
Caudata,Plethodontidae,Pseudoeurycea_lineola,13,26,52,
Caudata,Plethodontidae,Pseudoeurycea_lineola,13,26,NA,
Caudata,Plethodontidae,Pseudoeurycea_melanomolga,13,26,NA,
Caudata,Plethodontidae,Pseudoeurycea_nigromaculata,13,26,52,
Caudata,Plethodontidae,Pseudoeurycea_rex,13,26,NA,
Caudata,Plethodontidae,Pseudoeurycea_robertsi,13,26,NA,
Caudata,Plethodontidae,Pseudoeurycea_smithi,13,26,NA,
Caudata,Plethodontidae,Pseudoeurycea_werleri,13,26,NA,
Caudata,Plethodontidae,Pseudotriton_montanus_diastictus,14,28,56,
Caudata,Plethodontidae,Pseudotriton_ruber,14,28,56,
Caudata,Plethodontidae,Pseudotriton_ruber_schencki,14,28,56,
Caudata,Plethodontidae,Speleomantes_ambrosii,14,28,54,XY
Caudata,Plethodontidae,Speleomantes_flavus,14,28,54,XY
Caudata,Plethodontidae,Speleomantes_genei,14,28,54,XY
Caudata,Plethodontidae,Speleomantes_imperialis,14,28,54,XY
Caudata,Plethodontidae,Speleomantes_italicus,14,28,54,XY
Caudata,Plethodontidae,Speleomantes_supramontis,14,28,NA,XY
Caudata,Plethodontidae,Thorius_dubitus,13,26,NA,
Caudata,Plethodontidae,Thorius_dubitus,13,26,NA,XY
Caudata,Plethodontidae,Thorius_narisovalis,13,26,NA,
Caudata,Plethodontidae,Thorius_pennatulus,13,26,52,XY
Caudata,Plethodontidae,Thorius_sp.,13,26,NA,
Caudata,Proteidae,Necturus_alabamensis,19,38,68,XY
Caudata,Proteidae,Necturus_beyeri,19,38,64,XY
Caudata,Proteidae,Necturus_lewisi,19,38,76,XY
Caudata,Proteidae,Necturus_maculosus,19,38,64,XY
Caudata,Proteidae,Necturus_punctatus,19,38,76,XY
Caudata,Proteidae,Proteus_anguinus,19,38,68,
Caudata,Rhyacotritonidae,Rhyacotriton_olympicus,13,26,52,
Caudata,Salamandridae,Calotriton_asper,12,24,48,
Caudata,Salamandridae,Chioglossa_lusitanica,12,24,NA,
Caudata,Salamandridae,Cynops_cyanurus,12,24,48,
Caudata,Salamandridae,Cynops_orientalis,12,24,48,
Caudata,Salamandridae,Cynops_pyrrhogaster,12,24,NA,
Caudata,Salamandridae,Cynops_yunnanensis,12,24,48,
Caudata,Salamandridae,Echinotriton_andersoni,12,24,46,
Caudata,Salamandridae,Euproctus_montanus,12,24,48,
Caudata,Salamandridae,Euproctus_platycephalus,12,24,48,
Caudata,Salamandridae,Ichthyosaura_alpestris,12,24,48,XY
Caudata,Salamandridae,Ichthyosaura_alpestris,12,24,48,
Caudata,Salamandridae,Lissotriton_boscai,12,24,48,XY
Caudata,Salamandridae,Lissotriton_helveticus,12,24,48,XY
Caudata,Salamandridae,Lissotriton_italicus,12,24,48,XY
Caudata,Salamandridae,Lissotriton_montandoni,12,24,48,
Caudata,Salamandridae,Lissotriton_vulgaris,12,24,48,XY
Caudata,Salamandridae,Lissotriton_vulgaris,12,24,48,
Caudata,Salamandridae,Mertensiella_caucasica,12,24,48,
Caudata,Salamandridae,Neurergus_crocatus,12,24,48,
Caudata,Salamandridae,Neurergus_strauchii,12,24,48,
Caudata,Salamandridae,Notophthalmus_viridescens,11,22,NA,
Caudata,Salamandridae,Notophthalmus_viridescens_viridescens,11,22,44,
Caudata,Salamandridae,Ommatotriton_ophryticus,12,24,48,
Caudata,Salamandridae,Pachytriton_brevipes,12,24,48,
Caudata,Salamandridae,Paramesotriton_caudopunctatus,12,24,48,
Caudata,Salamandridae,Paramesotriton_chinensis,12,24,48,
Caudata,Salamandridae,Paramesotriton_hongkongensis,12,24,NA,
Caudata,Salamandridae,Paramesotriton_labiatus,12,24,48,
Caudata,Salamandridae,Pleurodeles_poireti,12,24,48,ZW
Caudata,Salamandridae,Pleurodeles_waltl,12,24,48,ZW
Caudata,Salamandridae,Salamandra_atra,12,24,48,
Caudata,Salamandridae,Salamandra_salamandra,12,24,48,
Caudata,Salamandridae,Salamandrina_terdigitata,12,24,48,
Caudata,Salamandridae,Taricha_granulosa_twittyi,11,22,44,
Caudata,Salamandridae,Taricha_rivularis,11,22,44,
Caudata,Salamandridae,Taricha_torosa_torosa,11,22,44,
Caudata,Salamandridae,Triturus_carnifex,12,24,48,
Caudata,Salamandridae,Triturus_cristatus,12,24,48,XY
Caudata,Salamandridae,Triturus_dobrogicus,12,24,48,
Caudata,Salamandridae,Triturus_karelinii,12,24,48,XY
Caudata,Salamandridae,Triturus_marmoratus,12,24,48,XY
Caudata,Salamandridae,Tylototriton_kweichowensis,12,24,48,
Caudata,Salamandridae,Tylototriton_shanjing,12,24,48,
Caudata,Salamandridae,Tylototriton_verrucosus,12,24,46,
Caudata,Salamandridae,Tylototriton_wenxianensis,12,24,48,
Caudata,Sirenidae,Pseudobranchus_striatus,24,48,NA,
Caudata,Sirenidae,Pseudobranchus_striatus,32,64,120,
Caudata,Sirenidae,Siren_intermedia,23,46,90,
Caudata,Sirenidae,Siren_lacertina,26,52,100,