Order,Family,Genus,species,SCS,haploid
Odonata,Epiophlebiidae,Epiophlebia,Epiophlebia superstes,XO,13
Odonata,Aeshnidae,Aeshna,Aeshna canadensis,XO,14
Odonata,Aeshnidae,Aeshna,Aeshna clepsydra,XO,14
Odonata,Aeshnidae,Aeshna,Aeshna crenata,XO,14
Odonata,Aeshnidae,Aeshna,Aeshna cyanea,XO,14
Odonata,Aeshnidae,Aeshna,Aeshna grandis,XO,14
Odonata,Aeshnidae,Aeshna,Aeshna grandis,XO,13
Odonata,Aeshnidae,Aeshna,Aeshna isoceles,XO,14
Odonata,Aeshnidae,Aeshna,Aeshna isoceles,XO,13
Odonata,Aeshnidae,Aeshna,Aeshna juncea,XO,14
Odonata,Aeshnidae,Aeshna,Aeshna mixta,XO,14
Odonata,Aeshnidae,Aeshna,Aeshna mixta,XO,13
Odonata,Aeshnidae,Aeshna,Aeshna nigroflava,XO,14
Odonata,Aeshnidae,Aeshna,Aeshna palmata,XO,14
Odonata,Aeshnidae,Aeshna,Aeshna subarctica,XO,14
Odonata,Aeshnidae,Aeshna,Aeshna umbrosa,XO,14
Odonata,Aeshnidae,Aeshna,Aeshna verticalis,XO,14
Odonata,Aeshnidae,Aeshna,Aeshna walkeri,XO,14
Odonata,Aeshnidae,Aeshna,Anaciaeschna jaspidea,XO,14
Odonata,Aeshnidae,Aeshna,Anax amazili,XO,14
Odonata,Aeshnidae,Anax,Anax concolor,XO,14
Odonata,Aeshnidae,Anax,Anax ephippiger,XO,7
Odonata,Aeshnidae,Anax,Anax guttatus,XO,8
Odonata,Aeshnidae,Anax,Anax immaculifrons,XO,14
Odonata,Aeshnidae,Anax,Anax imperator,XO,14
Odonata,Aeshnidae,Anax,Anax junius,XO,14
Odonata,Aeshnidae,Anax,Anax longipes,XO,14
Odonata,Aeshnidae,Anax,Anax nigrofasciatus,XO,14
Odonata,Aeshnidae,Anax,Anax nigrofasciatus,XO,13
Odonata,Aeshnidae,Anax,Anax papuensis,XO,14
Odonata,Aeshnidae,Anax,Anax parthenope,XO,14
Odonata,Aeshnidae,Anax,Anax parthenope,XO,13
Odonata,Aeshnidae,Andaeschna,Andaeschna unicolor,XO,14
Odonata,Aeshnidae,Austroaeschna,Austroaeschna anacantha,XO,14
Odonata,Aeshnidae,Austroaeschna,Austroaeschna multipunctata,XO,14
Odonata,Aeshnidae,Basiaeschna,Basiaeschna janata,XO,13
Odonata,Aeshnidae,Boyeria,Boyeria maclachlani,XO,14
Odonata,Aeshnidae,Boyeria,Boyeria vinosa,XO,14
Odonata,Aeshnidae,Castoraeschna,Castoraeschna castor,XO,14
Odonata,Aeshnidae,Cephalaeschna,Cephalaeschna orbifrons,XO,13
Odonata,Aeshnidae,Cephalaeschna,Cephalaeschna sp.,XO,13
Odonata,Aeshnidae,Coryphaeschna,Coryphaeschna adnexa,XO,14
Odonata,Aeshnidae,Coryphaeschna,Coryphaeschna perrensi,XO,13
Odonata,Aeshnidae,Coryphaeschna,Coryphaeschna perrensi,XO,14
Odonata,Aeshnidae,Coryphaeschna,Coryphaeschna viriditas,XO,12
Odonata,Aeshnidae,Gynacantha,Gynacantha bayadera,XO,13
Odonata,Aeshnidae,Gynacantha,Gynacantha bayadera,XO,14
Odonata,Aeshnidae,Gynacantha,Gynacantha japonica,XO,14
Odonata,Aeshnidae,Gynacanthaeschna,Gynacanthaeschna sikkima,XO,14
Odonata,Aeshnidae,Oplonaeschna,Oplonaeschna armata,XO,14
Odonata,Aeshnidae,Planaeschna,Planaeschna milnei,XO,14
Odonata,Aeshnidae,Remartinia,Remartinia luteipennis ,XO,13
Odonata,Aeshnidae,Remartinia,Remartinia luteipennis ,XO,14
Odonata,Aeshnidae,Rhionaeschna,Rhionaeschna californica,XO,14
Odonata,Aeshnidae,Rhionaeschna,Rhionaeschna confusa,XO,14
Odonata,Aeshnidae,Rhionaeschna,Rhionaeschna diffinis,XO,11
Odonata,Aeshnidae,Rhionaeschna,Rhionaeschna intricata,XO,10
Odonata,Aeshnidae,Rhionaeschna,Rhionaeschna peralta,XO,14
Odonata,Aeshnidae,Staurophlebia,Staurophlebia reticulata,XO,14
Odonata,Petaluridae,Tachopteryx,Tachopteryx thoreyi,XO,10
Odonata,Petaluridae,Tanypteryx,Tanypteryx hageni,XO,9
Odonata,Petaluridae,Tanypteryx,Tanypteryx sp.,XO,9
Odonata,Petaluridae,Uropetala ,Uropetala carovei,XO,9
Odonata,Petaluridae,Uropetala ,Uropetala carovei,XO,13
Odonata,Gomphidae,Anisogomphus,Anisogomphus bivittatus,XO,12
Odonata,Gomphidae,Anisogomphus,Anisogomphus occipitalis,XO,12
Odonata,Gomphidae,Aphylla,Aphylla edentata,XO,12
Odonata,Gomphidae,Aphylla,Aphylla producta,XO,12
Odonata,Gomphidae,Aphylla,Aphylla theodorina,XO,12
Odonata,Gomphidae,Aphylla,Aphylla williamsoni,XO,12
Odonata,Gomphidae,Aphylla,Aphylla sp.,XO,12
Odonata,Gomphidae,Arigomphus,Arigomphus lentulus,XO,12
Odonata,Gomphidae,Arigomphus,Arigomphus pallidus,XO,12
Odonata,Gomphidae,Arigomphus,Arigomphus submedianus,XO,12
Odonata,Gomphidae,Asiagomphus,Asiagomphus melaenops,XO,12
Odonata,Gomphidae,Burmagomphus,Burmagomphus pyramidalis,XO,12
Odonata,Gomphidae,Davidius,Davidius nanus,XO,12
Odonata,Gomphidae,Dromogomphus,Dromogomphus spinosus,XO,12
Odonata,Gomphidae,Dromogomphus,Dromogomphus spoliatus,XO,12
Odonata,Gomphidae,Epigomphus,Epigomphus llama,XO,12
Odonata,Gomphidae,Erpetogomphus,Erpetogomphus designatus,XO,12
Odonata,Gomphidae,Erpetogomphus,Erpetogomphus diadophis,XO,12
Odonata,Gomphidae,Erpetogomphus,Erpetogomphus ophibolus,XO,12
Odonata,Gomphidae,Gomphoides,Gomphoides sp.,XO,12
Odonata,Gomphidae,Gomphus,Gomphus confraternus,XO,12
Odonata,Gomphidae,Gomphus,Gomphus exilis,XO,12
Odonata,Gomphidae,Gomphus,Gomphus pulchellus,XO,12
Odonata,Gomphidae,Gomphus,Gomphus vulgatissimus,XO,12
Odonata,Gomphidae,Ictinogomphus,Ictinogomphus rapax,XO,12
Odonata,Gomphidae,Nepogomphus,Nepogomphus modestus,XO,12
Odonata,Gomphidae,Nihonogomphus,Nihonogomphus ruptus,XO,12
Odonata,Gomphidae,Nihonogomphus,Nihonogomphus viridis,XO,12
Odonata,Gomphidae,Octogomphus,Octogomphus specularis,XO,12
Odonata,Gomphidae,Onychogomphus,Onychogomphus forcipatus,XO,13
Odonata,Gomphidae,Ophiogomphus,Ophiogomphus bison,XO,12
Odonata,Gomphidae,Ophiogomphus,Ophiogomphus bison,XO,13
Odonata,Gomphidae,Ophiogomphus,Ophiogomphus cecilia,XO,12
Odonata,Gomphidae,Ophiogomphus,Ophiogomphus colubrinus,XO,12
Odonata,Gomphidae,Ophiogomphus,Ophiogomphus obscurus,XO,12
Odonata,Gomphidae,Ophiogomphus,Ophiogomphus occidentis,XO,12
Odonata,Gomphidae,Ophiogomphus,Ophiogomphus rupinsulensis,XO,12
Odonata,Gomphidae,Phanogomphus,Phanogomphus lividus,XO,12
Odonata,Gomphidae,Phanogomphus,Phanogomphus militaris,XO,12
Odonata,Gomphidae,Phanogomphus,Phanogomphus spicatus,XO,12
Odonata,Gomphidae,Paragomphus,Paragomphus lineatus,XO,12
Odonata,Gomphidae,Paragomphus,Paragomphus capricornis,XO,12
Odonata,Gomphidae,Phyllocycla,Phyllocycla propinqua,XO,11
Odonata,Gomphidae,Phyllocycla,Phyllocycla sp.,XO,12
Odonata,Gomphidae,Phyllocycla,Phyllocycla sp. 1,XO,12
Odonata,Gomphidae,Phyllogomphoides,Phyllogomphoides undulatus,XO,12
Odonata,Gomphidae,Progomphus,Progomphus borealis,XO,12
Odonata,Gomphidae,Progomphus,Progomphus intricatus,XO,12
Odonata,Gomphidae,Progomphus,Progomphus obscurus,XO,12
Odonata,Gomphidae,Progomphus,Progomphus phyllochromus,XO,12
Odonata,Gomphidae,Scalmogomphus,Scalmogomphus bistrigatus,XO,12
Odonata,Gomphidae,Shaogomphus,Shaogomphus postocularis,XO,12
Odonata,Gomphidae,Sieboldius,Sieboldius albardae,XO,12
Odonata,Gomphidae,Stylogomphus,Stylogomphus suzukii,XO,12
Odonata,Gomphidae,Stylurus,Stylurus flavipes,XO,12
Odonata,Gomphidae,Stylurus,Stylurus plagiatus,XO,12
Odonata,Gomphidae,Stylurus,Stylurus scudderi,XO,12
Odonata,Gomphidae,Temnogomphus,Temnogomphus bivittatus,XO,12
Odonata,Gomphidae,Trigomphus,Trigomphus citimus,XO,11
Odonata,Gomphidae,Trigomphus,Trigomphus interruptus,XO,10
Odonata,Gomphidae,Trigomphus,Trigomphus melampus,XO,11
Odonata,Gomphidae,Zonophora,Zonophora calippus,XO,12
Odonata,Macromiidae,Didymops ,Didymops transversa,XO,13
Odonata,Macromiidae,Epophthalmia,Epophthalmia frontalis,XO,13
Odonata,Macromiidae,Macromia,Macromia daimoji,XO,13
Odonata,Macromiidae,Macromia,Macromia amphigenia,XO,13
Odonata,Macromiidae,Macromia,Macromia magnifica,XO,13
Odonata,Macromiidae,Macromia,Macromia moorei,XO,13
Odonata,Corduliidae,Cordulia,Cordulia aenea,XO,13
Odonata,Corduliidae,Cordulia,Cordulia shurtleffii,XO,13
Odonata,Corduliidae,Dorocordulia,Dorocordulia libera,XO,6
Odonata,Corduliidae,Dorocordulia,Dorocordulia libera,XO,7
Odonata,Corduliidae,Epicordulia,Epicordulia princeps,XO,13
Odonata,Corduliidae,Epitheca,Epitheca bimaculata,XO,13
Odonata,Corduliidae,Epitheca,Epitheca canis,XO,13
Odonata,Corduliidae,Epitheca,Epitheca cynosura,XO,10
Odonata,Corduliidae,Epitheca,Epitheca cynosura,XO,11
Odonata,Corduliidae,Epitheca,Epitheca petechialis,XO,11
Odonata,Corduliidae,Epitheca,Epitheca semiaquea,XO,13
Odonata,Corduliidae,Epitheca,Epitheca spinigera,XO,13
Odonata,Corduliidae,Epitheca,Epitheca spinigera,XO,14
Odonata,Corduliidae,Procordulia,Procordulia grayi,XO,13
Odonata,Corduliidae,Procordulia,Procordulia smithii,XO,13
Odonata,Corduliidae,Rialla,Rialla villosa,XO,13
Odonata,Corduliidae,Somatochlora,Somatochlora alpestris,XO,13
Odonata,Corduliidae,Somatochlora,Somatochlora alpestris,XO,14
Odonata,Corduliidae,Somatochlora,Somatochlora arctica,XO,13
Odonata,Corduliidae,Somatochlora,Somatochlora borisi,XO,10
Odonata,Corduliidae,Somatochlora,Somatochlora flavomaculata,XO,13
Odonata,Corduliidae,Somatochlora,Somatochlora graeseri,XO,13
Odonata,Corduliidae,Somatochlora,Somatochlora meridionalis,XO,13
Odonata,Corduliidae,Somatochlora,Somatochlora metallica,XO,13
Odonata,Corduliidae,Somatochlora,Somatochlora semicircularis,XO,13
Odonata,Corduliidae,Somatochlora,Somatochlora uchidai,XO,13
Odonata,Corduliidae,Somatochlora,Somatochlora viridiaenea,XO,13
Odonata,Libellulidae,Acisoma,Acisoma panorpoides,XO,13
Odonata,Libellulidae,Aethriamanta,Aethriamanta brevipennis,XO,13
Odonata,Libellulidae,Anatya,Anatya guttata,XO,13
Odonata,Libellulidae,Atoconeura,Atoconeura biordinata,XO,11
Odonata,Libellulidae,Brachydiplax,Brachydiplax chalybea,XO,13
Odonata,Libellulidae,Brachydiplax,Brachydiplax farinosa,XO,13
Odonata,Libellulidae,Brachydiplax,Brachydiplax sobrina,XO,13
Odonata,Libellulidae,Brachymesia,Brachymesia furcata,XO,13
Odonata,Libellulidae,Brachymesia,Brachymesia gravida,XO,13
Odonata,Libellulidae,Brachymesia,Brachymesia herbida,XO,13
Odonata,Libellulidae,Brachythemis,Brachythemis contaminata,XO,13
Odonata,Libellulidae,Brachythemis,Brachythemis lacustris,XO,13
Odonata,Libellulidae,Bradinopyga,Bradinopyga cornuta,XO,13
Odonata,Libellulidae,Bradinopyga,Bradinopyga geminata,XO,13
Odonata,Libellulidae,Brechmorhoga,Brechmorhoga mendax,XO,13
Odonata,Libellulidae,Brechmorhoga,Brechmorhoga nubecula,XO,13
Odonata,Libellulidae,Brechmorhoga,Brechmorhoga pertinax,XO,13
Odonata,Libellulidae,Cannaphila,Cannaphila vibex,XO,13
Odonata,Libellulidae,Celithemis,Celithemis amanda,XO,13
Odonata,Libellulidae,Celithemis,Celithemis elisa,XO,13
Odonata,Libellulidae,Celithemis,Celithemis fasciata,XO,13
Odonata,Libellulidae,Celithemis,Celithemis ornata,XO,13
Odonata,Libellulidae,Crocothemis,Crocothemis erythraea,XO,13
Odonata,Libellulidae,Crocothemis,Crocothemis sanguinolenta,XO,13
Odonata,Libellulidae,Crocothemis,Crocothemis servilia,XO,13
Odonata,Libellulidae,Dasythemis,Dasythemis esmeralda,XO,13
Odonata,Libellulidae,Dasythemis,Dasythemis mincki,XO,13
Odonata,Libellulidae,Dasythemis,Dasythemis venosa,XO,13
Odonata,Libellulidae,Diastatops,Diastatops intensa,XO,13
Odonata,Libellulidae,Diastatops,Diastatops obscura,XO,13
Odonata,Libellulidae,Diastatops,Diastatops pullata,XO,12
Odonata,Libellulidae,Diplacodes,Diplacodes bipunctata,XO,13
Odonata,Libellulidae,Diplacodes,Diplacodes bipunctata,XO,15
Odonata,Libellulidae,Diplacodes,Diplacodes haematodes,XO,13
Odonata,Libellulidae,Diplacodes,Diplacodes haematodes,XO,12
Odonata,Libellulidae,Diplacodes,Diplacodes lefebvrii,XO,13
Odonata,Libellulidae,Diplacodes,Diplacodes nebulosa,XO,13
Odonata,Libellulidae,Diplacodes,Diplacodes trivialis,XO,13
Odonata,Libellulidae,Dythemis,Dythemis fugax,XO,13
Odonata,Libellulidae,Dythemis,Dythemis multipunctata,XO,13
Odonata,Libellulidae,Dythemis,Dythemis rufinervis,XO,13
Odonata,Libellulidae,Dythemis,Dythemis velox,XO,13
Odonata,Libellulidae,Elasmothemis,Elasmothemis cannacrioides,XO,11
Odonata,Libellulidae,Elasmothemis,Elasmothemis cannacrioides,XO,12
Odonata,Libellulidae,Elasmothemis,Elasmothemis williamsoni,XO,13
Odonata,Libellulidae,Erythemis,Erythemis attala,XO,13
Odonata,Libellulidae,Erythemis,Erythemis collocata,XO,13
Odonata,Libellulidae,Erythemis,Erythemis credula,XO,13
Odonata,Libellulidae,Erythemis,Erythemis haematogastra,XO,13
Odonata,Libellulidae,Erythemis,Erythemis peruviana,XO,13
Odonata,Libellulidae,Erythemis,Erythemis plebeja,XO,13
Odonata,Libellulidae,Erythemis,Erythemis simplicicollis,XO,13
Odonata,Libellulidae,Erythemis,Erythemis vesiculosa,XO,13
Odonata,Libellulidae,Erythrodiplax,Erythrodiplax anomala,XO,13
Odonata,Libellulidae,Erythrodiplax,Erythrodiplax atroterminata,XO,13
Odonata,Libellulidae,Erythrodiplax,Erythrodiplax attenuata,XO,13
Odonata,Libellulidae,Erythrodiplax,Erythrodiplax basalis,XO,13
Odonata,Libellulidae,Erythrodiplax,Erythrodiplax berenice,XO,13
Odonata,Libellulidae,Erythrodiplax,Erythrodiplax berenice,XO,14
Odonata,Libellulidae,Erythrodiplax,Erythrodiplax castanea,XO,13
Odonata,Libellulidae,Erythrodiplax,Erythrodiplax chromoptera,XO,12
Odonata,Libellulidae,Erythrodiplax,Erythrodiplax cleopatra,XO,13
Odonata,Libellulidae,Erythrodiplax,Erythrodiplax connata,XO,13
Odonata,Libellulidae,Erythrodiplax,Erythrodiplax corallina,XO,13
Odonata,Libellulidae,Erythrodiplax,Erythrodiplax famula,XO,13
Odonata,Libellulidae,Erythrodiplax,Erythrodiplax fusca,XO,13
Odonata,Libellulidae,Erythrodiplax,Erythrodiplax fervida,XO,13
Odonata,Libellulidae,Erythrodiplax,Erythrodiplax justiniana,XO,13
Odonata,Libellulidae,Erythrodiplax,Erythrodiplax juliana,XO,13
Odonata,Libellulidae,Erythrodiplax,Erythrodiplax latimaculata,XO,13
Odonata,Libellulidae,Erythrodiplax,Erythrodiplax lygaea,XO,13
Odonata,Libellulidae,Erythrodiplax,Erythrodiplax media,XO,11
Odonata,Libellulidae,Erythrodiplax,Erythrodiplax melanorubra,XO,13
Odonata,Libellulidae,Erythrodiplax,Erythrodiplax minuscula,XO,13
Odonata,Libellulidae,Erythrodiplax,Erythrodiplax nigricans,XO,13
Odonata,Libellulidae,Erythrodiplax,Erythrodiplax ochracea,XO,13
Odonata,Libellulidae,Erythrodiplax,Erythrodiplax paraguayensis,XO,12
Odonata,Libellulidae,Erythrodiplax,Erythrodiplax umbrata,XO,13
Odonata,Libellulidae,Erythrodiplax,Erythrodiplax unimaculata,XO,13
Odonata,Libellulidae,Hydrobasileus,Hydrobasileus croceus,XO,13
Odonata,Libellulidae,Ladona,Ladona julia,XO,13
Odonata,Libellulidae,Lathrecista,Lathrecista asiatica,XO,13
Odonata,Libellulidae,Leucorrhinia,Leucorrhinia albifrons,XO,13
Odonata,Libellulidae,Leucorrhinia,Leucorrhinia dubia,XO,13
Odonata,Libellulidae,Leucorrhinia,Leucorrhinia frigida,XO,11
Odonata,Libellulidae,Leucorrhinia,Leucorrhinia frigida,XO,12
Odonata,Libellulidae,Leucorrhinia,Leucorrhinia glacialis,XO,13
Odonata,Libellulidae,Leucorrhinia,Leucorrhinia hudsonica,XO,13
Odonata,Libellulidae,Leucorrhinia,Leucorrhinia intacta,XO,13
Odonata,Libellulidae,Leucorrhinia,Leucorrhinia proxima,XO,13
Odonata,Libellulidae,Leucorrhinia,Leucorrhinia rubicunda,XO,13
Odonata,Libellulidae,Libellula,Libellula angelina,XO,13
Odonata,Libellulidae,Libellula,Libellula auripennis,XO,13
Odonata,Libellulidae,Libellula,Libellula axilena,XO,12
Odonata,Libellulidae,Libellula,Libellula basalis,XO,13
Odonata,Libellulidae,Libellula,Libellula composita,XO,13
Odonata,Libellulidae,Libellula,Libellula croceipennis,XO,13
Odonata,Libellulidae,Libellula,Libellula cyanea,XO,13
Odonata,Libellulidae,Libellula,Libellula depressa,XO,12
Odonata,Libellulidae,Libellula,Libellula depressa,XO,13
Odonata,Libellulidae,Libellula,Libellula flavida,XO,13
Odonata,Libellulidae,Libellula,Libellula forensis,XO,13
Odonata,Libellulidae,Libellula,Libellula fulva,XO,13
Odonata,Libellulidae,Libellula,Libellula fulva,XO,14
Odonata,Libellulidae,Libellula,Libellula incesta,XO,13
Odonata,Libellulidae,Libellula,Libellula luctuosa,XO,13
Odonata,Libellulidae,Libellula,Libellula pulchella,XO,13
Odonata,Libellulidae,Libellula,Libellula quadrimaculata,XO,13
Odonata,Libellulidae,Libellula,Libellula saturata,XO,13
Odonata,Libellulidae,Libellula,Libellula semifasciata,XO,13
Odonata,Libellulidae,Libellula,Libellula vibrans,XO,13
Odonata,Libellulidae,Lyriothemis,Lyriothemis pachygastra,XO,13
Odonata,Libellulidae,Macrothemis,Macrothemis declivata,XO,12
Odonata,Libellulidae,Macrothemis,Macrothemis imitans,XO,13
Odonata,Libellulidae,Macrothemis,Macrothemis mortoni,XO,13
Odonata,Libellulidae,Macrothemis,Macrothemis musiva,XO,13
Odonata,Libellulidae,Macrothemis,Macrothemis sp.,XO,13
Odonata,Libellulidae,Miathyria,Miathyria artemis,XO,13
Odonata,Libellulidae,Miathyria,Miathyria marcella,XO,13
Odonata,Libellulidae,Micrathyria,Micrathyria artemis,XO,13
Odonata,Libellulidae,Micrathyria,Micrathyria atra,XO,13
Odonata,Libellulidae,Micrathyria,Micrathyria catenata,XO,13
Odonata,Libellulidae,Micrathyria,Micrathyria didyma,XO,13
Odonata,Libellulidae,Micrathyria,Micrathyria eximia,XO,13
Odonata,Libellulidae,Micrathyria,Micrathyria hagenii,XO,13
Odonata,Libellulidae,Micrathyria,Micrathyria hesperis,XO,13
Odonata,Libellulidae,Micrathyria,Micrathyria hypodidyma,XO,12
Odonata,Libellulidae,Micrathyria,Micrathyria hypodidyma,XO,13
Odonata,Libellulidae,Micrathyria,Micrathyria iheringi,XO,12
Odonata,Libellulidae,Micrathyria,Micrathyria laevigata,XO,13
Odonata,Libellulidae,Micrathyria,Micrathyria ocellata,XO,13
Odonata,Libellulidae,Micrathyria,Micrathyria spuria,XO,13
Odonata,Libellulidae,Micrathyria,Micrathyria stawiarskii,XO,13
Odonata,Libellulidae,Micrathyria,Micrathyria cf. eximia,XO,11
Odonata,Libellulidae,Micrathyria,Micrathyria sp. (ungulata-group),XO,12
Odonata,Libellulidae,Nannothemis,Nannothemis bella,XO,13
Odonata,Libellulidae,Nesciothemis,Nesciothemis farinosa,XO,13
Odonata,Libellulidae,Nesogonia,Nesogonia blackburni,XO,13
Odonata,Libellulidae,Neurothemis,Neurothemis fulvia,XO,13
Odonata,Libellulidae,Neurothemis,Neurothemis intermedia,XO,13
Odonata,Libellulidae,Neurothemis,Neurothemis terminata,XO,13
Odonata,Libellulidae,Neurothemis,Neurothemis tullia,XO,13
Odonata,Libellulidae,Oligoclada,Oligoclada amphinome,XO,13
Odonata,Libellulidae,Oligoclada,Oligoclada laetitia,XO,12
Odonata,Libellulidae,Oligoclada,Oligoclada laetitia,XO,11
Odonata,Libellulidae,Oligoclada,Oligoclada monosticha,XO,12
Odonata,Libellulidae,Oligoclada,Oligoclada pachystigma,XO,12
Odonata,Libellulidae,Orthemis,Orthemis biolleyi,XO,12
Odonata,Libellulidae,Orthemis,Orthemis cultiformis,XO,12
Odonata,Libellulidae,Orthemis,Orthemis discolor,XO,12
Odonata,Libellulidae,Orthemis,Orthemis ferruginea,XO,12
Odonata,Libellulidae,Orthemis,Orthemis ferruginea,XO,13
Odonata,Libellulidae,Orthemis,Orthemis nodiplaga,XO,21
Odonata,Libellulidae,Orthetrum,Orthetrum abbotti,XO,13
Odonata,Libellulidae,Orthetrum,Orthetrum albistylum,XO,13
Odonata,Libellulidae,Orthetrum,Orthetrum azureum,XO,13
Odonata,Libellulidae,Orthetrum,Orthetrum brachiale,XO,11
Odonata,Libellulidae,Orthetrum,Orthetrum brachiale,XO,13
Odonata,Libellulidae,Orthetrum,Orthetrum brunneum,XO,13
Odonata,Libellulidae,Orthetrum,Orthetrum cancellatum,XO,13
Odonata,Libellulidae,Orthetrum,Orthetrum chrysostigma,XO,13
Odonata,Libellulidae,Orthetrum,Orthetrum coerulescens,XO,13
Odonata,Libellulidae,Orthetrum,Orthetrum coerulescens,XO,12
Odonata,Libellulidae,Orthetrum,Orthetrum coerulescens,XO,14
Odonata,Libellulidae,Orthetrum,Orthetrum glaucum,XO,13
Odonata,Libellulidae,Orthetrum,Orthetrum guineense,XO,13
Odonata,Libellulidae,Orthetrum,Orthetrum japonicum,XO,13
Odonata,Libellulidae,Orthetrum,Orthetrum julia,XO,13
Odonata,Libellulidae,Orthetrum,Orthetrum iuzonicum,XO,13
Odonata,Libellulidae,Orthetrum,Orthetrum melania,XO,13
Odonata,Libellulidae,Orthetrum,Orthetrum monardi,XO,13
Odonata,Libellulidae,Orthetrum,Orthetrum poecilops,XO,13
Odonata,Libellulidae,Orthetrum,Orthetrum pruinosum,XO,13
Odonata,Libellulidae,Orthetrum,Orthetrum sabina,XO,13
Odonata,Libellulidae,Orthetrum,Orthetrum taeniolatum,XO,13
Odonata,Libellulidae,Orthetrum,Orthetrum testaceum,XO,13
Odonata,Libellulidae,Orthetrum,Orthetrum triangulare,XO,13
Odonata,Libellulidae,Pachydiplax,Pachydiplax longipennis,XO,13
Odonata,Libellulidae,Palpopleura,Palpopleura jucunda,XO,13
Odonata,Libellulidae,Palpopleura,"Palpopleura lucia (Drury, 1773)",XO,13
Odonata,Libellulidae,Palpopleura,Palpopleura sexmaculata,XO,13
Odonata,Libellulidae,Pantala,Pantala flavescens,XO,13
Odonata,Libellulidae,Pantala,Pantala flavescens,XO,12
Odonata,Libellulidae,Pantala,Pantala hymenaea,XO,13
Odonata,Libellulidae,Perithemis,Perithemis cornelia,XO,13
Odonata,Libellulidae,Perithemis,Perithemis domitia,XO,13
Odonata,Libellulidae,Perithemis,Perithemis electra,XO,13
Odonata,Libellulidae,Perithemis,Perithemis icteroptera,XO,13
Odonata,Libellulidae,Perithemis,Perithemis lais,XO,9
Odonata,Libellulidae,Perithemis,Perithemis mooma,XO,13
Odonata,Libellulidae,Perithemis,Perithemis tenera,XO,13
Odonata,Libellulidae,Perithemis,Perithemis seminole,XO,13
Odonata,Libellulidae,Perithemis,Perithemis sp.,XO,13
