Genus,species,haploid
Carausius,Carausius_rotundato,11
Sipyloidea,Sipyloidea_panaeticus,11
Clonopsis,Clonopsis_maroccana,11
Lampionus,Lampionus_sp.,12
Pseudophasma,Pseudophasma_menius,12
Dubreuilia,Dubreuilia_lineata,13
Didymuria,Didymuria_violescens,13.5
Parasipyloidea,Parasipyloidea_sp.,14
Podacanthus,Podacanthus_typhon,14
Isagoras,Isagoras_subaquilus,14
Prisopus,Prisopus_ariadne,14
Didymuria,Didymuria_violescens,14.5
Didymuria,Didymuria_violescens,14.5
Ctenomorpha,Ctenomorpha_chronus,15
Lampionus,Lampionus_sp.,15
Pachymorpha,Pachymorpha_sp.,15
Parasipyloidea,Parasipyloidea_annulatus,15
Didymuria,Didymuria_violescens,15.5
Ctenomorpha,Ctenomorpha_chronus,16
Didymuria,Didymuria_violescens,16
Didymuria,Didymuria_violescens,16.5
Didymuria,Didymuria_violescens,16.5
Clonistria,Clonistria_exornata,17
Pachymorpha,Pachymorpha_simplicipes,17
Pachymorpha,Pachymorpha_squalida,17
Tropidoderus,Tropidoderus_childrenii,17
Bacillus,Bacillus_atticus,17
Bacillus,Bacillus_grandii,17
Isagoras,Isagoras_schraderi,17
Phyllium,Phyllium_bioculatum,17
Bacillus,Bacillus_rossius-grandii,17.5
Bacillus,Bacillus_rossius-grandii grandii,17.5
Bacillus,Bacillus_whitei,17.5
Acanthoxyla,Acanthoxyla_inermis,18
Clitarchus,Clitarchus_hookeri,18
Acrophylla,Acrophylla_titan,18
Aplopus,Aplopus_mayeri,18
Bostra,Bostra_sp.,18
Didymuria,Didymuria_violescens,18
Extatosoma,Extatosoma_tiaratum,18
Lampionus,Lampionus_sp.,18
Lampionus,Lampionus_sp.,18
Parasipyloidea,Parasipyloidea_granulosa,18
Podacanthus,Podacanthus_viridiroseus,18
Podacanthus,Podacanthus_wilkinsoni,18
Bacillus,Bacillus_rossius,18
Clonopsis,Clonopsis_sp.,18
Clonopsis,Clonopsis_felicitatis,18
Leptynia,Leptynia_attenuata,18
Leptynia,Leptynia_attenuata,18
Phalces,Phalces_longiscaphus,18
Acanthoxyla,Acanthoxyla_intermedia,19
Clitumnus,Clitumnus_extradentatus,19
Ctenomorphodes,Ctenomorphodes_tessulatus,19
Didymuria,Didymuria_violescens,19
Extatosoma,Extatosoma_tiaratum,19
Orxines,Orxines_macklotti,19
Sipyloidea,Sipyloidea_sp.,19
Vetilia,Vetilia_enceladus,19
Leptynia,Leptynia_montana,19
Pijnackeria,Pijnackeria_hispanica,19
Pijnackeria,Pijnackeria_barbarae,19
Pijnackeria,Pijnackeria_lelongi,19
Pijnackeria,Pijnackeria_lucianae,19
Pijnackeria,Pijnackeria_originis,19
Parasipyloidea,Parasipyloidea_sp.,19.5
Parasipyloidea,Parasipyloidea_sp.,19.5
Ctenomorphodes,Ctenomorphodes_sp.,20
Didymuria,Didymuria_violescens,20
Didymuria,Didymuria_violescens,20
Parasipyloidea,Parasipyloidea_cercata,20
Parasipyloidea,Parasipyloidea_sp.,20
Leptynia,Leptynia_caprai,20
Leptynia,Leptynia_sp.,20
Carausius,Carausius_juvenilis,21
Carausius,Carausius_sp.,21
Genus7,Genus7_longiceps,21
Oncotophasma,Oncotophasma_sp.,21
Phibalosoma,Phibalosoma_phyllinum,21
Carnacia,Carnacia_telesphorus,22
Acanthoderus,Acanthoderus_grandis,22
Acanthoderus,Acanthoderus_inermis,22
Clonopsis,Clonopsis_androgenes,22
Genus8,Genus8_sp.,23
Menexenus,Menexenus_semiarmatus,23
Pseudobacteria,Pseudobacteria_sp.,24
Isagoras,Isagoras_sp.,24
Dyme,Dyme_krugiana,25
Prisopus,Prisopus_berosus,25
Bacillus,Bacillus_lynceorum,25.5
Phobaeticus,Phobaeticus_sinetyi,26
Parasosibia,Parasosibia_parva,27
Clonopsis,Clonopsis_gallica,27
Pijnackeria,Pijnackeria_hispanica,27
Clonopsis,Clonopsis_gallica,28
Pijnackeria,Pijnackeria_hispanica,28.5
Pijnackeria,Pijnackeria_masettii,28.5
Carausius,Carausius_morosus,32
Baculum,Baculum_artemis,36
Clonopsis,Clonopsis_sp.,36
Clonopsis,Clonopsis_soumiae,36
Pijnackeria,Pijnackeria_hispanica,38
Sipyloidea,Sipyloidea_sipylus,40
Carausius,Carausius_furcillatus,33
Carausius,Carausius_furcillatus,43.5
Carausius,Carausius_morosus,32.5
Carausius,Carausius_theiseni,20.5
Bacillus,Bacillus_rossius,18
Epibacillus,Epibacillus_lobipes,18